Timestamp,Score,Nama,Email,1. Status Bpk/Ibu/Saudara/i:,2. Berapa lama Bpk/Ibu/Saudara/i bergabung atau mengenal STT Wastukancana?,3. Apakah Bpk/Ibu/Saudara/i pernah membaca visi dan misi STT Wastukancana?,4.  Media sumber Bpk/Ibu/Saudara/i mendapatkan informasi tentang visi dan misi STT Wastukancana? (Jawaban boleh lebih dari satu),3. Apakah Bpk/Ibu/Saudara/i mengetahui Visi dan Misi STT Wastukancana?,5. Saya memahami Visi dan Misi STT Wastukancana.,6. Saya memahami bahwa Visi dan Misi STT Wastukancana harus dilaksanakan.,7. Saya memahami fungsi Visi dan Misi STT Wastukancana sebagai arahan dalam kegiatan akademik.,8. Saya memahami dengan baik bahwa setiap program harus dilaksanakan harus berdasarkan Visi dan Misi STT Wastukancana.,9. Saya memahami Visi dan Misi STT Wastukancana sudah realistik.,10. Visi dan Misi STT Wastukancana telah tercermin pada: (jawaban boleh lebih dari satu),,5. Apakah Bpk/Ibu/Saudara/i mengetahui Visi dan Misi STT Wastukancana?
3/8/2024 18:57:52,0,,,Dosen,-1 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran",,
7/24/2024 15:36:14,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,1,3,2,2,2,Kurikulum,,
7/24/2024 15:38:31,0,,,Mahasiswa,+ 10 Tahun,,"Situs STT Wastukancana, Pemberitahuan atau penjelasan Pimpinan, Media sosial, Rumah dekat",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 15:39:45,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan",Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran",,
7/24/2024 15:42:12,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,3,4,4,4,3,Kompetensi Lulusan,,
7/24/2024 15:42:47,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,Kurikulum,,
7/24/2024 15:44:09,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 15:44:42,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik",Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 15:45:18,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Kompetensi Dosen",,
7/24/2024 15:45:35,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Kompetensi Dosen, Kompetensi Lulusan",,
