PENGAJARAN,PENGAJARAN,PENGAJARAN,PENGAJARAN,PENGAJARAN,PENGAJARAN,SUASANA KERJA,SUASANA KERJA,SUASANA KERJA,SUASANA KERJA,SUASANA KERJA,SUASANA KERJA,PENGHARGAAN/KOMPENSASI,PENGHARGAAN/KOMPENSASI,PENGHARGAAN/KOMPENSASI
1. Program studi memberi kesempatan pada dosen untuk mengajar sesuai dengan kemampuan dan minatnya.,2. Program studi memberikan kesempatan pada dosen untuk menerapkan metoda pembelajaran yang baru.,3. Program studi memberikan kesempatan bagi dosen untuk menulis buku ajar.,4. Program studi memberikan kesempatan untuk mengikuti workshop/kegiatan pelatihan internal/eksternal yang berhubungan dengan kompetensi.,5. Program studi memberikan kesempatan bagi dosen untuk meneruskan studi lanjut ke jenjang yang lebih tinggi.,6. Ketersediaan buku teks dan jurnal di perpustakaan untuk mendukung kegiatan proses pembelajaran.,1. Pejabat struktural mampu berkomunikasi secara efektif kepada para dosen.,2. Program Studi selalu memberikan kesempatan pada dosen untuk memberikan masukan/ide baru untuk perbaikan proses/prosedur pelaksanaan pekerjaan.,3. Program studi selalu mendukung apa yang dosen lakukan sepanjang menurut pihak yang bersangkutan dapat memberikan kontribusi positif untuk kemajuan program studi.,4. Program studi memberikan kesempatan kepada para dosen agar terlibat dalam tim/panitia sehingga dapat bekerja sama dengan baik.,5. Institusi melakukan kaderisasi kepemimpinan terhadap dosen yang dianggap memiliki kompetensi yang memadai.,6. Suasana kerja dan perkuliahan yang kondusif.,1. Kenaikan gaji berkala dosen yang dilakukan oleh Institusi sudah sesuai.,2. Pemberian penghargaan terhadap loyalitas dosen berdasarkan masa kerja tertentu.,3. Kesempatan untuk mendapatkan pengakuan dan penghargaan ketika bekerja dengan baik sesuai Tridharma Perguruan Tinggi.
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,4,4,4,4,4,5,2,2,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,5,5,5,5,5,5,3,4,4
4,4,3,3,3,3,4,4,4,4,4,4,3,4,4
5,5,4,4,4,3,3,4,4,4,2,4,1,2,2
5,5,5,5,5,4,5,5,5,5,4,5,1,3,3
5,5,5,5,5,5,5,5,5,5,5,5,3,2,2
5,5,5,5,3,3,4,4,4,4,4,4,2,3,4
5,5,5,4,4,4,5,5,5,5,4,4,3,4,4
5,5,5,5,5,1,1,5,5,5,1,5,1,3,3
5,5,4,4,4,3,4,5,5,4,4,5,4,3,3
4,4,4,4,4,4,4,4,4,4,3,4,1,1,2
5,5,4,5,3,1,3,4,4,4,2,3,1,2,2
4,5,4,5,4,3,4,5,4,4,2,4,2,2,2
5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
5,5,4,3,3,3,3,3,4,3,4,4,2,3,3
