TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,TANGIBLE,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,RELIABILITY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,EMPATHY,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,RESPONSIVENESS,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE,ASSURANCE
"Ruang kuliah rapi, bersih dan nyaman",Sarana pembelajaran di ruang kuliah memadai,Buku referensi di perpustakaan yang lengkap,Laboratorium yang relevan dengan keilmuan,Ketersediaan fasilitas kamar kecil yang cukup dan bersih,Tempat beribadah yang nyaman,Fasilitas anjungan komputer yang memadai,Hotspot/wifi mencakup seluruh area,Fasilitas bangku untuk transit perkuliahan yang cukup,Website memberikan informasi dan memudahkan administrasi secara online,Dosen memberikan materi perkuliahan dengan jelas,Materi yang disampaikan berkualitas dan sesuai dengan perkembangan iptek,Dosen melakukan berbagai upaya agar mahasiswa memahami materi yang dipelajari,Dosen mengembalikan hasil ujian dengan penilaian yang objektif,Dosen selalu disiplin dalam waktu,Dosen hadir sesuai dengan jadwal perkuliahan,Dosen mengampu mata kuliah sesuai dengan keahlian,"Bahan ajar (handout, modul, dll) yang diberikan kepada mahasiswa untuk melengkapi materi perkuliahan","Kurikulum disusun dengan baik, terstruktur dan sesuai dengan lapangan kerja",Staf Tata Laksana melayani administrasi kemahasiswaan dengan cekatan,Dosen menyediakan waktu bagi mahasiswa yang ingin berkonsultasi,Dosen membantu mahasiswa yang mengalami kesulitan dalam perkuliahan,Dosen memberikan motivasi bagai mahasiswa untuk meningkatkan prestasi akademik,Mahasiswa mudah menghubungi dosen untuk bimbingan/konseling kegiatan kemahasiswaan,"Pimpinan prodi, dosen dan staf TU menanggapi keluhan dengan baik","Terjalin komunikasi yang baik antara dosen, staf TU dan mahasiswa",Jam layanan akademik sesuai dengan kebutuhan mahasiswa,Staf Tata Laksana siap membantu menyelesaikan masalah administrasi mahasiswa,Prodi memberikan penghargaan bagi mahasiswa yang berprestasi,Prodi peduli dengan mahasiswa yang mengalami musibah (misal: kunjungan perwakilan dosen ke mahasiswa),Permasalahan/keluhan mahasiswa ditangani oleh dosen Penasihat Akademik/dosen wali,Pimpinan prodi melakukan backup terhadap masalah/keluhan mahasiswa yang ditangani dosen Penasihat Akademik/dosen wali,Pekerjaan/tugas dikembalikan pada mahasiswa dan diberi catatan oleh dosen yang bersangkutan,Waktu dipergunakan secara efektif oleh dosen dalam proses pengajaran,Staf Tata Laksana membantu administrasi mahasiswa dengan cepat,Staf Tata Laksana membantu administrasi mahasiswa dengan tanggap,Staf Tata Laksana membantu administrasi mahasiswa dengan tepat,Kritik dan saran mahasiswa selalu direspon oleh Prodi,Prodi mempermudah administrasi mahasiswa dengan website,Prodi dengan tanggap mengurus administrasi untuk mahasiswa yang terkena musibah (misal: uang duka),Dosen bersedia membantu mahasiswa yang mengalami kesulitan di bidang akademik/mata kuliah,"Dosen bersikap terbuka, kooperatif dengan mahasiswa",Dosen mengajar sesuai dengan silabus dan Rencana Pembelajaran Semester (RPS) yang telah dibuat,Dosen melibatkan mahasiswa dalam kegiatan ilmiah (penelitian dan pengabdian kepada masyarakat),Dosen membuat suasana akademik di dalam kelas mendukung kegiatan perkuliahan,Mahasiswa mudah mendapatkan informasi akademik maupun non akademik lewat website,"Mahasiswa mendapatkan kejelasan prosedur/alur tentang suatu kegiatan (misal: alur pengisian KRS, alur Kerja Praktek, alur Tugas Akhir)","Mahasiswa mendapat dukungan Prodi dalam kegiatan non akademik (misal: olahraga, seni, dll)",Mahasiswa mendapat dukungan Prodi dalam kegiatan akademik di luar kampus,Prodi memonitor kemajuan mahasiswa melalui dosen Penasihat Akademik/Dosen Wali
2,2,3,2,3,3,2,2,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,4,3,4,4,3,2,4,3,3,3,3,4,4,2,3,3,4,4,3,4,2,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,3,1,2,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
2,1,2,1,2,3,1,1,3,2,3,3,3,3,3,3,2,1,2,2,3,2,2,1,2,2,3,1,1,1,3,3,2,3,1,1,1,3,2,1,2,2,2,1,2,1,2,2,1,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,2,2,1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,1,2
