1. Ketersediaan akses terhadap jurnal online,2. Distribusi informasi oleh Pusat PPM (Penelitian dan Pengabdian Masyarakat) tentang jenis hibah untuk penelitian telah dapat terakses dengan baik oleh dosen.,3. Prosedur penelitian internal sesuai dengan SOP.,4. Penelitian hibah eksternal difasilitasi dengan baik oleh Pusat PPM.,5. Institusi memfasilitasi pembiayaan publikasi artikel di jurnal nasional terakreditasi.,6. Institusi memfasilitasi pembiayaan publikasi artikel di jurnal internasional.,7. Institusi memfasilitasi pembiayaan call for paper di tingkat nasional.,8. Institusi memfasilitasi pembiayaan call for paper di tingkat internasional.,9. Institusi memfasilitasi pengurusan dan pembiayaan HAKI (hak cipta kekayaan intelektual).
4,4,4,5,5,5,5,5,5
4,4,4,4,5,4,5,5,4
5,5,5,5,5,5,5,5,5
5,5,4,4,5,5,5,5,5
5,5,4,5,4,4,4,4,4
3,2,2,3,2,2,2,2,2
5,5,4,5,5,5,5,5,4
3,5,3,5,3,3,3,3,3
4,4,4,4,4,3,3,3,4
5,4,4,4,4,3,3,3,4
1,1,1,1,1,1,1,1,1
3,4,4,4,4,3,3,3,3
3,4,3,4,2,2,2,2,2
2,3,2,3,2,1,2,1,2
4,5,4,5,5,5,4,4,5
3,3,3,4,4,4,4,4,4
3,3,3,3,4,3,3,3,3
